Column1,Adult,Child,Total,Child Rate
Acton,2858,2833,5691,0.497803549
Ainslie,6453,4287,10740,0.399162011
Amaroo,7837,4439,12276,0.36159987
Aranda,3229,1998,5227,0.38224603
Banks,6407,3828,10235,0.374010747
Barton,2097,1797,3894,0.461479199
Belconnen,9302,7672,16974,0.451985389
Bonner,9752,4941,14693,0.336282584
Bonython,4702,2989,7691,0.388636068
Braddon,6761,5992,12753,0.469850231
Bruce,8423,6621,15044,0.440109014
Calwell,7059,4374,11433,0.382576752
Campbell,5314,3885,9199,0.422328514
Canberra Airport,152,99,251,0.394422311
Canberra East,1232,950,2182,0.435380385
Casey,8363,4564,12927,0.353059488
Chapman,3514,2196,5710,0.384588441
Charnwood,3788,2303,6091,0.378098834
Chifley,3190,2176,5366,0.405516213
Chisholm,6536,3980,10516,0.378470901
Civic,5006,4660,9666,0.482102214
Conder,6343,3871,10214,0.378989622
Cook,3576,2367,5943,0.398283695
Coombs,6169,3567,9736,0.366372227
Crace,6121,3439,9560,0.359728033
Curtin,6846,4297,11143,0.385623261
Deakin,3797,2417,6214,0.388960412
Denman Prospect,3564,1938,5502,0.352235551
Dickson,3781,2783,6564,0.423979281
Downer,5179,3395,8574,0.395964544
Duffy,4202,2596,6798,0.381877023
Dunlop,9330,5165,14495,0.356329769
Duntroon,2112,1829,3941,0.464095407
Evatt,6878,4198,11076,0.379017696
Fadden,3714,2311,6025,0.383568465
Farrer,4606,2975,7581,0.39242844
Fisher,4038,2375,6413,0.370341494
Florey,5749,3813,9562,0.398765949
Flynn (ACT),4591,2762,7353,0.375628995
Forde,5838,3057,8895,0.343676223
Forrest,2083,1550,3633,0.426644646
Franklin,9215,5765,14980,0.384846462
Fraser,2626,1641,4267,0.38457933
Fyshwick,52,28,80,0.35
Garran,4599,2845,7444,0.382186996
Gilmore,3349,2075,5424,0.382558997
Giralang,4186,2578,6764,0.381135423
Gordon (ACT),9681,6086,15767,0.385996068
Gowrie (ACT),3875,2358,6233,0.378309
Greenway,4634,3626,8260,0.438983051
Griffith (ACT),6204,4460,10664,0.418229557
Gungahlin,10221,6954,17175,0.40489083
Hackett,4051,2398,6449,0.371840595
Harrison,10414,6056,16470,0.367698846
Hawker,3599,2423,6022,0.402358021
Higgins,4116,2517,6633,0.379466305
Holder,3435,2214,5649,0.391927775
Holt,6848,4393,11241,0.39080153
Hughes,3928,2459,6387,0.385000783
Hume,395,386,781,0.494238156
Isaacs,2811,1923,4734,0.406210393
Isabella Plains,5402,3270,8672,0.377075646
Jacka,967,453,1420,0.319014085
Kaleen,9284,6044,15328,0.394311065
Kambah,19179,12146,31325,0.387741421
Kenny,24,0,24,0
Kingston (ACT),7225,5906,13131,0.449775341
Lake Burley Griffin,0,0,0,0
Latham,4674,2835,7509,0.377546944
Lawson,3133,2349,5482,0.428493251
Lyneham,6458,4945,11403,0.433657809
Lyons (ACT),3922,2644,6566,0.402680475
Macarthur,1749,1021,2770,0.368592058
Macgregor (ACT),8966,5123,14089,0.363617006
Macquarie,3674,2526,6200,0.407419355
Majura,330,229,559,0.409660107
Mawson,4153,2737,6890,0.39724238
McKellar,3287,2197,5484,0.400619985
Melba,4239,2523,6762,0.373114463
Mitchell,7,0,7,0
Monash,6791,4473,11264,0.397105824
Moncrieff,7082,3545,10627,0.333584266
Mount Taylor,0,0,0,0
Narrabundah,7817,5077,12894,0.393749031
Ngunnawal,13701,8220,21921,0.374982893
Nicholls,8104,5247,13351,0.393004269
O'Connor (ACT),7062,4753,11815,0.402285231
O'Malley,1084,729,1813,0.402095974
Oxley (ACT),2096,1293,3389,0.381528474
Page,3618,2505,6123,0.40911318
Palmerston,6886,4278,11164,0.383195987
Parkes (ACT) - North,0,0,0,0
Parkes (ACT) - South,3,3,6,0.5
Pearce,3256,2094,5350,0.391401869
Phillip,5836,4548,10384,0.43798151
Red Hill (ACT),3948,2314,6262,0.369530501
Reid,1688,1369,3057,0.447824665
Richardson,3783,2308,6091,0.378919718
Rivett,4173,2499,6672,0.37455036
Russell,0,0,0,0
Scrivener,0,0,0,0
Scullin,3814,2317,6131,0.377915511
Spence,3185,1986,5171,0.384064978
Stirling,2637,1753,4390,0.399316629
Strathnairn,899,505,1404,0.35968661
Taylor,2920,1531,4451,0.343967648
Theodore,4703,2873,7576,0.379223865
Throsby,3180,1620,4800,0.3375
Torrens,3041,1798,4839,0.371564373
Turner,4881,4056,8937,0.453843572
Wanniassa,9718,6038,15756,0.383219091
Waramanga,3467,2071,5538,0.373961719
Watson,8277,5170,13447,0.384472373
Weetangera,3448,2141,5589,0.383073895
Weston,4895,3141,8036,0.390866103
Whitlam,7,0,7,0
Wright,4666,2945,7611,0.386939955
Yarralumla,3701,2533,6234,0.40632018
